LIMS_ID,B.naive,B.memory,Plasma.,T.CD8,T.CD4.naive,T.CD4.memory.resting,T.CD4.memory.activated,T.follicular.helper,T.regulatory.(Tregs),T.gamma.delta,NK.resting,NK.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.resting,Dendritic.activated,Mast.resting,Mast.activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
HOA7814A279,0.016413549,0,0,0.101810141,0.011602105,0.03025263,0.008014146,0,0,0.009785425,0,0.002417185,0.370166333,0.000879746,0,0.000256894,0,0.002108226,0,0.00385544,0,0.442438181,0,0.835395486,0.557961779
HOA7814A280,0.065997191,0,0,0.195806574,0.066981164,0.047795861,0.015874135,0,0.027503993,0,0.042626036,0.078940605,0.31010772,0,0,0.001956285,0,0.0002785,0,0.001608815,0,0.14452312,0,0.76529201,0.689208558
HOA7814A281,0,0.006194333,0.000622869,0,0.02672663,0,0.009854628,0,0.00254415,0.013104213,0.011711248,0,0.334404712,0.027054856,0,0,0,0,0.025551718,0,0,0.542230642,0,0.833520172,0.55302997
HOA7814A282,0.002340252,0.004878178,0,0.135280686,0,0.074491399,0.008359467,0,0,0,6.50E-05,0.047291668,0.418416385,0.002132345,0,0,0,0,0.011189972,0,0,0.295554637,0,0.827796033,0.593786626
HOA7818A1,0.032716617,0.002320056,6.88E-05,0.052288003,0.026079954,0,0,0,0.049264333,0,0.043076322,0,0.33403085,0.030683827,0,0,0,0,0,0.000734715,0,0.428736484,0,0.641488693,0.770048218
HOA7818A48,0.027183363,0,0.006268018,0.102057626,0.007485847,0.021487832,0.007320519,0,0.026402037,0,0.020504482,0.031564624,0.370611881,0.011672674,0,0,0,0.0007114,0,0.003645077,0,0.363084621,0,0.721969025,0.69398229
HOA7818A51,0.001104449,0,0.001620094,0.119251325,0.042336493,0.024568086,0.008801297,0,0.009721051,0.01775211,0.002494533,0.017582618,0.397349496,0.002678945,0,0,0,0.002573279,0.001333942,0,0,0.350832282,0,0.809415616,0.603256333
HOA7818A58,0.089554116,0,0,0.196162584,0,0.024909667,0.035757341,0,0.03950977,0,0.008576391,0.049154118,0.293911248,0.008675505,0,0,0.002737615,0,0.00336394,0,0,0.247687704,0,0.842037379,0.615127874
HOA7818A55,0.006879879,0,0.000765082,0.043328303,0.035202109,0.021473654,0.007367311,0,0.009490803,0.025657226,0.002364564,0.015509674,0.371477117,0.004251987,0,0.000395498,0,0.000487402,0.000483372,0,0,0.45486602,0,0.828184173,0.565346359
HOA7818A57,0.038303686,0,0,0.239702403,0,0.010781724,0.017239626,0,0.024879895,0,0.042307798,0.03874473,0.318817798,0.014482008,0,0,0,0,3.45E-05,0,0,0.254705784,0,0.817322051,0.626546026
HOA7818A65,0.00462861,0,0.001360153,0.087396314,0,0.061856396,0.017252338,0,0.00650748,0.013916517,9.13E-05,0.034948222,0.410468323,0.002098553,0,0,0,0.000658289,0.008135193,0,0,0.35068233,0,0.723151166,0.691978882
HOA7818A56,0.029435489,0,0,0.221788976,0.015123205,0,0.010504207,0,0.018374824,0,0.03923194,0.06578884,0.294505904,0,0,0,0,0.0011053,0.003428726,0,0,0.300712589,0,0.834160368,0.599368737
HOA7818A66,0.022227214,0,0,0.238975535,0.056295216,0.084090997,0.03436797,0,0.008624625,0,0,0.0512587,0.322584935,0,0,0.002335742,0,0.001119082,0.009215619,0,0,0.168904365,0,0.723439231,0.717331457
HOA7818A49,0.035922882,0,0,0.143338949,0.013881846,0.000968033,0.015704783,0,0.028153668,0,0.004499651,0.012172898,0.420059704,0.004001908,0,0,0,0.002280024,0.004045837,0,0,0.314969819,0,0.607729438,0.7943514
HOA7818A52,0.028918943,0,0.003756803,0.084211174,0.076619293,0.05062825,0.008893557,0,0.037231444,0,0.01008107,0.034696289,0.306739465,0.002147924,0,0,0,0.000891208,0,0,0,0.355184581,0,0.575979561,0.818762397
HOA7818A69,0.023551817,0,0,0.083552242,0.002319478,0,0.003631896,0,0.020100841,0.002904189,0.060718158,0.028456254,0.32773455,0.011025135,0,0,0,0.000959682,0.002433767,0,0,0.432611989,0,0.819742936,0.582844322
HOA7818A47,0.029987262,0,0,0.193435356,0.00294207,0,0.029413957,0,0.023241322,0,0.011940682,0.03822154,0.379043321,0,0,0,0,0,0.006889435,0,0,0.284885056,0,0.833942314,0.597133659
HOA7818A84,0.017996096,0,0.000258909,0.174292673,0.010628124,0.04714189,0.007717618,0,0.004397677,0,0.012193701,0.057780844,0.3480547,0,0,0,0,0.002825731,0.007611942,0,0,0.309100095,0,0.778357985,0.64817012
HOA7818A59,0.013316812,0,0,0.161846625,0.07749215,0.022489224,0.020853483,0,0.00501133,0,0,0.021229515,0.427725053,0,0,0,0,0.001033479,0.013143562,0,0,0.235858768,0,0.8132427,0.623191064
HOA7818A62,0.102288725,0,0,0.190419307,0.038414495,0.026597497,0.032467993,0,0.005050344,0,0,0.058484527,0.317546428,0,0,0,0,0.003322175,0.006409928,0,0,0.218998581,0,0.813684261,0.643805239
HOA7818A63,0.02663294,0,0.001702777,0.135324888,0.097407836,0.045210517,0.022288026,0,0,0.006893885,0,0.047033656,0.353908146,0,0,0,0,0.002310709,0.015737683,0,0,0.245548936,0,0.822197527,0.623946579
HOA7818A50,0.031555678,0.003182696,0,0.077730209,0.082039803,0.001684718,0.031242848,0,0.023367707,0,0.021248454,0.007736909,0.329885883,0.001041376,0,0,0.001438703,0.006703005,0.017559681,0,0,0.363582332,0,0.765728894,0.654722372
HOA7818A53,0.040652631,0,0,0.172541147,0.049215364,0.042973616,0.049250087,0,0.015064465,0.028749639,0,0.060819697,0.393855876,0.041599439,0,0,0.000522708,0,0.007841121,0,0,0.096914212,0,0.595696004,0.808187759
HOA7818A54,0.00787253,0,0.000388121,0.119473656,0.017340689,0.004681756,0.022352862,0,0.01079226,0.010644366,0,0.035234786,0.496127459,0.018487382,0,0,0,0,0.001817892,0,0,0.25478624,0,0.794162601,0.626800676
HOA7818A60,0.029600315,0.001220975,0,0.112162818,0.092799628,0,0.011419858,0,0.078367196,0,0.012047437,0.026821064,0.297234598,0,0,0,0.000843148,0,0,0,0,0.337482963,0,0.804458866,0.62324694
HOA7818A61,0.055761093,0,0,0.175394712,0.016003357,0,0.021535155,0,0.052064777,0,0.009594034,0.020909221,0.379742868,0,0,0,0,0.002305207,0.002450169,0,0,0.264239406,0,0.762937486,0.669679893
HOA7818A64,0.034058187,0,0,0.144594219,0.025313473,0,0.003881664,0,0.025862067,0,0.030581597,0.023589028,0.33030105,0,0,0,0,0,0.020704016,0,0,0.3611147,0,0.785063468,0.635051017
HOA7818A67,0.049386866,0,0,0.235231882,0.009402159,0.044064455,0.016928961,0,0.040978906,0,0.032288335,0.070105661,0.269750679,0,0,0,0,0,0.019590324,0,0,0.212271771,0,0.835868904,0.625461921
